編號,案類,發生日期,發生時段,發生地點
2098,自行車竊盜,1100118,17~19,臺北市大安區龍生里捷運科技大樓站對面自行車停放區
2099,自行車竊盜,1100118,20~22,臺北市松山區延壽街424巷
2100,自行車竊盜,1100119,17~19,臺北市大安區龍雲里復興南路2段31~60號
2101,自行車竊盜,1100120,17~19,臺北市士林區華齡街17巷1~30號
2102,自行車竊盜,1100123,13~15,臺北市中山區錦州街241巷1弄1 ~ 30號
2103,自行車竊盜,1100124,13~15,臺北市大安區全安里敦化南路2段181 ~ 210號
2104,自行車竊盜,1100124,02~04,臺北市松山區北寧路1~30號
2105,自行車竊盜,1100125,10~12,臺北市萬華區青年路106巷30弄
2106,自行車竊盜,1100126,22~24,臺北市大安區龍門里大安森林公園捷運站出口
2107,自行車竊盜,1100128,07~09,臺北市大同區重慶北路1段83巷1 ~ 30號
2108,自行車竊盜,1100128,20~22,臺北市中正區幸福里忠孝東路1段61~90號
2109,自行車竊盜,1100129,19~21,臺北市大同區重慶北路1段1 ~ 30號
2110,自行車竊盜,1100130,16~18,臺北市大安區古風里師大路135巷1 ~ 30號
2111,自行車竊盜,1100130,20~22,臺北市士林區承德里捷運劍潭站2號出口腳踏車停車
2112,自行車竊盜,1100130,08~10,臺北市萬華區長泰街19巷1~30號
2113,自行車竊盜,1100201,14~16,臺北市內湖區內湖路2段331~360號
2114,自行車竊盜,1100201,20~22,臺北市北投區關渡里大度路3段301巷80弄1~30號
2115,自行車竊盜,1100203,11~13,臺北市大安區龍生里建國南路2段181~210號人行道
2116,自行車竊盜,1100203,14~16,臺北市萬華區西園路2段151~180號
2117,自行車竊盜,1100204,05~07,臺北市大同區重慶北路1段91~120號
2118,自行車竊盜,1100206,02~04,臺北市大安區通安里信義路4段241~270號前
2119,自行車竊盜,1100209,14~16,臺北市中正區愛國里延平南路181~210號前
2120,自行車竊盜,1100209,11~13,臺北市大安區永康里信義路2段與麗水街口
2121,自行車竊盜,1100209,08~10,臺北市北投區立農里西安街2段241~270號
2122,自行車竊盜,1100210,14~16,臺北市大安區古莊里羅斯福路3段91~120號後方機車停車場
2123,自行車竊盜,1100214,11~13,臺北市萬華區萬大路423巷28弄1~30號
2124,自行車竊盜,1100215,05~07,臺北市士林區福華里承德路4段40巷91~120號
2125,自行車竊盜,1100216,17~19,臺北市大安區民輝里忠孝新生捷運站3號出口腳踏車停放區
2126,自行車竊盜,1100218,11~13,臺北市萬華區西寧南路241~270號
2127,自行車竊盜,1100218,14~16,臺北市中山區建國北路1段1~30號
2128,自行車竊盜,1100222,05~07,臺北市大安區群賢里復興南路2段271~300號
2129,自行車竊盜,1100223,14~16,臺北市萬華區長沙街2段91~120號
2130,自行車竊盜,1100224,20~22,臺北市大安區敦安里信義路4段199巷1~30號前
2131,自行車竊盜,1100225,02~04,臺北市中正區黎明里公園路1~30號
2132,自行車竊盜,1100225,08~10,臺北市大同區延平北路4段1~30號
2133,自行車竊盜,1100226,08~10,臺北市北投區建民里承德路6段301~330號
2134,自行車竊盜,1100226,14~16,臺北市大同區承德路3段庫倫街口東南角停車場
2135,自行車竊盜,1100226,08~10,臺北市信義區黎順里信安街1~30號
2136,自行車竊盜,1100228,14~16,臺北市文山區萬隆里羅斯福路5段241~270號
2137,自行車竊盜,1100228,20~22,臺北市大同區昌吉街91~120號
2138,自行車竊盜,1100228,11~13,臺北市松山區復興北路313巷1~30號
2139,自行車竊盜,1100305,14~16,臺北市北投區豐年里豐年路2段121~150號
