案類,發生日期,發生時段,發生地點
住宅竊盜,1040131,00~02,臺北市南港區重陽路57巷1~30號
住宅竊盜,1040201,00~02,臺北市北投區中心里中和街31~60號
住宅竊盜,1040201,10~12,臺北市松山區敦化北路199巷100弄1~30號
住宅竊盜,1040201,10~12,臺北市北投區雙全街62巷1~30號
住宅竊盜,1040201,18~20,臺北市信義區信義路6段15巷1~30號
住宅竊盜,1040202,08~10,臺北市中正區網溪里廈門街91~120號
住宅竊盜,1040202,20~22,臺北市北投區中心里中和街31~60號
住宅竊盜,1040203,04~06,臺北市文山區木新里木新路2段161巷1~30號
住宅竊盜,1040204,18~20,臺北市中山區農安街125巷1~30號
住宅竊盜,1040205,02~04,臺北市士林區百齡里福港街211~240號
住宅竊盜,1040205,04~06,臺北市內湖區樂康里康樂街111巷31~60號
住宅竊盜,1040205,14~16,臺北市萬華區大理街170巷1~30號
住宅竊盜,1040206,08~10,臺北市中山區合江街20巷1~30號
住宅竊盜,1040206,16~18,臺北市內湖區西湖里內湖路1段285巷69弄91~120號
住宅竊盜,1040207,04~06,臺北市信義區黎安里和平東路路3段571~600號
住宅竊盜,1040207,22~24,臺北市中正區三愛里新生南路1段121~150號
住宅竊盜,1040208,04~06,臺北市大安區新龍里信義路3段134巷91~120號
住宅竊盜,1040209,02~04,臺北市文山區忠順里忠順街2段1~30號
住宅竊盜,1040210,00~02,臺北市北投區大同路200巷1~30號
住宅竊盜,1040210,10~12,臺北市士林區福志里志成路22巷15弄1~30號
住宅竊盜,1040211,16~18,臺北市內湖區葫洲里民權東路6段296巷38之1~30號
住宅竊盜,1040212,00~02,臺北市萬華區萬大路493巷48弄1~30號
住宅竊盜,1040212,02~04,臺北市松山區撫遠街241~270號
住宅竊盜,1040212,12~14,臺北市信義區松隆里松山路615巷1~30號
住宅竊盜,1040212,20~22,臺北市文山區興安里22鄰景華街176巷7~1號
住宅竊盜,1040213,04~06,臺北市中山區八德路2段210巷1~30號
住宅竊盜,1040213,08~10,臺北市中山區農安街1~30號
住宅竊盜,1040214,08~10,臺北市士林區明勝里承德路4段12巷61~90號
住宅竊盜,1040215,08~10,臺北市中山區長安東路2段1~30號
住宅竊盜,1040215,08~10,臺北市大安區法治里通化街173巷1~30號
住宅竊盜,1040215,12~14,臺北市北投區吉利里20鄰石牌路1段39巷61~90號
住宅竊盜,1040215,22~24,臺北市信義區和平東路3段661~690號
住宅竊盜,1040216,00~02,臺北市信義區吳興街269巷1~30號
住宅竊盜,1040216,12~14,臺北市中正區文盛里羅斯福路3段210巷8弄1~30號
住宅竊盜,1040216,14~16,臺北市內湖區新明路246巷3弄1~30號
住宅竊盜,1040216,18~20,臺北市內湖區西湖里內湖路1段91巷121~150號
住宅竊盜,1040216,22~24,臺北市松山區南京東路5段211~240號
住宅竊盜,1040216,22~24,臺北市中山區南京路三民1號
住宅竊盜,1040218,06~08,臺北市大同區民權里民權西路160巷30弄1~30號
住宅竊盜,1040219,12~14,臺北市信義區黎忠里和平東路3段391巷8弄31~60號
住宅竊盜,1040219,18~20,臺北市北投區文林里致遠一路1段125巷1~30號
住宅竊盜,1040219,18~20,臺北市信義區四育里虎林街46巷1~30號
住宅竊盜,1040219,20~22,臺北市信義區四育里虎林街46巷1~30號
住宅竊盜,1040220,06~08,臺北市北投區文林里致遠一路1段31~60號
住宅竊盜,1040221,18~20,臺北市大安區通化里17鄰通化街39巷62弄1~30號
住宅竊盜,1040222,02~04,臺北市文山區樟新里樟新街32巷1~30號
住宅竊盜,1040223,00~02,臺北市士林區義信里大南路61~90號
住宅竊盜,1040223,12~14,臺北市南港區中南里中南街74巷31~60號
住宅竊盜,1040223,14~16,臺北市信義區大仁里福德街84巷1弄1~30號
住宅竊盜,1040223,20~22,臺北市士林區蘭雅里德行東路31~60號
住宅竊盜,1040224,12~14,臺北市萬華區萬大路493巷48弄1~30號
住宅竊盜,1040224,16~18,臺北市北投區中心里8鄰泉源路31~60號
住宅竊盜,1040224,20~22,臺北市內湖區西湖里26鄰內湖路1段285巷65弄61~90號
住宅竊盜,1040225,04~06,臺北市中正區黎明里南陽街1~30號
住宅竊盜,1040225,08~10,臺北市士林區聖山里忠誠路1段147巷1~30號
住宅竊盜,1040225,10~12,臺北市南港區舊莊里舊莊街1段145巷6弄1~30號
住宅竊盜,1040226,02~04,臺北市大安區義安里敦化南路2段63巷31~60號
住宅竊盜,1040226,14~16,臺北市中正區幸市里臨沂街33巷1~30號
住宅竊盜,1040226,20~22,臺北市內湖區西湖里內湖路1段323巷14弄1~30號
住宅竊盜,1040227,00~02,臺北市萬華區西寧南路206巷1~30號
住宅竊盜,1040227,02~04,臺北市萬華區西園路2段151~180號
住宅竊盜,1040227,10~12,臺北市北投區中央里大興街24巷7弄1~30號
住宅竊盜,1040228,20~22,臺北市內湖區週美里新明路3800巷4弄1~30號
住宅竊盜,1040228,20~22,臺北市萬華區東園街73巷61~90號
住宅竊盜,1040302,08~10,臺北市松山區八德路4段106巷6弄1~30號
住宅竊盜,1040304,00~02,臺北市北投區福興里自強街5巷61~90號
住宅竊盜,1040304,16~18,臺北市士林區社新里延平北路6段273巷1~30號
住宅竊盜,1040304,16~18,臺北市內湖區湖興里成功路2段312巷31~60號
住宅竊盜,1040305,04~06,臺北市北投區吉慶里11鄰致遠二路1~30號
住宅竊盜,1040305,04~06,臺北市萬華區和平西路3段55巷8弄1~30號
住宅竊盜,1040305,14~16,臺北市內湖區葫洲里2鄰民權東路6段280巷25弄6之1~30號
住宅竊盜,1040306,04~06,臺北市松山區八德路3段121~150號
住宅竊盜,1040306,20~22,臺北市大安區建安里忠孝東路4段181巷40弄1~30號
住宅竊盜,1040307,04~06,臺北市北投區大同里大業路481~510號
住宅竊盜,1040308,16~18,臺北市萬華區內江街151~180號
住宅竊盜,1040308,22~24,臺北市萬華區中華路2段416巷1~30號
住宅竊盜,1040309,04~06,臺北市文山區萬盛里羅斯福路5段61~90號
住宅竊盜,1040310,00~02,臺北市士林區天母里中山北路7段219巷1~30號
住宅竊盜,1040310,00~02,臺北市松山區八德路4段106巷10弄1~30號
住宅竊盜,1040310,12~14,臺北市萬華區昆明街211~240號
住宅竊盜,1040310,12~14,臺北市萬華區昆明街211~240號
住宅竊盜,1040311,08~10,臺北市中山區新生北路22段58巷1~30號
住宅竊盜,1040312,00~02,臺北市中正區水源里羅斯福路4段61~90號
住宅竊盜,1040312,10~12,臺北市大同區至聖里大龍街259巷10弄1~30號
住宅竊盜,1040312,16~18,臺北市大安區古莊里浦城街13巷1~30號
住宅竊盜,1040313,02~04,臺北市北投區中庸里10鄰大同街181~210號
住宅竊盜,1040313,22~24,臺北市中山區松江路37巷1~30號
住宅竊盜,1040314,02~04,臺北市文山區試院里和興路91~120號
住宅竊盜,1040315,02~04,臺北市萬華區長泰街271~300號
住宅竊盜,1040316,02~04,臺北市萬華區中華路1段181~210號
住宅竊盜,1040316,08~10,臺北市中正區螢雪里水源路151~180號
住宅竊盜,1040317,00~02,臺北市北投區榮華里17鄰明德路118巷1~30號
住宅竊盜,1040317,12~14,臺北市南港區萬福里同德路50巷1~30號
住宅竊盜,1040319,12~14,臺北市文山區萬和里溪洲街61~90號
住宅竊盜,1040319,22~24,臺北市北投區永和里同德街44巷1~30號
住宅竊盜,1040320,12~14,臺北市萬華區糖?里大理街160巷26弄1~30號
住宅竊盜,1040320,18~20,臺北市松山區南京東路5段23巷7弄1~30號
住宅竊盜,1040320,18~20,臺北市萬華區漢口街2段61~90號
住宅竊盜,1040324,06~08,臺北市北投區永明里石牌路2段97巷1~30號
住宅竊盜,1040324,08~10,臺北市松山區民權東路3段153巷3弄1~30號
住宅竊盜,1040324,10~12,臺北市萬華區東園街85巷4弄1~30號
住宅竊盜,1040325,12~14,臺北市中正區文祥里金山南路1段79巷1~30號
住宅竊盜,1040325,14~16,臺北市大安區龍門里10鄰和平東路2段18巷13弄1~30號
住宅竊盜,1040325,22~24,臺北市中山區合江街61~90號
住宅竊盜,1040326,16~18,臺北市文山區興福里1鄰興隆路1段260巷1~30號
住宅竊盜,1040327,18~20,臺北市文山區萬隆里羅斯福路5段241~270號
住宅竊盜,1040327,18~20,臺北市信義區黎平里和平東路3段207巷6弄1~30號
住宅竊盜,1040328,10~12,臺北市中山區民權東路3段1~30號
住宅竊盜,1040329,08~10,臺北市松山區南京東路5段31~60號
住宅竊盜,1040330,08~10,臺北市中山區松江路332﹑334號
住宅竊盜,1040330,10~12,臺北市士林區平等里平菁街105巷1~30號
住宅竊盜,1040330,12~14,臺北市文山區萬利街2巷1~30號
住宅竊盜,1040331,08~10,臺北市內湖區金瑞里金龍路1~30號
住宅竊盜,1040331,22~24,臺北市萬華區萬大路493巷28弄1~30號
住宅竊盜,1040401,00~02,臺北市中山區長春路241~270號
住宅竊盜,1040401,12~14,臺北市士林區新安里新安路241~270號
住宅竊盜,1040401,12~14,臺北市士林區天壽里5鄰天母西路22巷1~30號
住宅竊盜,1040404,12~14,臺北市文山區木新里指南路1段31~60號
住宅竊盜,1040404,20~22,臺北市松山區饒河街61~90號
住宅竊盜,1040405,12~14,臺北市文山區指南里指南路3段22巷1~30號
住宅竊盜,1040405,20~22,臺北市松山區光復北路31~60號
住宅竊盜,1040405,22~24,臺北市內湖區港富里麗山街328巷1~30號
住宅竊盜,1040405,22~24,臺北市大同區南芳里延平北路2段241~270號
住宅竊盜,1040407,02~04,臺北市萬華區雅江街31~60號
