編號,案類,發生日期,發生時段,發生地點
1,汽車竊盜,1040104,22~24,台北市松山區塔悠路91~120號
2,汽車竊盜,1040119,02~04,台北市中山區新生北路2段91~120號
3,汽車竊盜,1040120,02~04,台北市文山區老泉里老泉街1~30號
4,汽車竊盜,1040120,08~10,台北市文山區木柵里木柵路3段48巷3弄1~30號
5,汽車竊盜,1040121,04~06,台北市中山區建國北路2段91~120號
6,汽車竊盜,1040121,22~24,台北市萬華區華中河濱公園
7,汽車竊盜,1040127,22~24,台北市松山區八德路3段1~30號
8,汽車竊盜,1040129,08~10,台北市北投區一德里中央北路4段211~240號
9,汽車竊盜,1040201,16~18,台北市松山區濱江街(七號
10,汽車竊盜,1040202,06~08,台北市內湖區樂康里康樂街261巷
11,汽車竊盜,1040210,06~08,台北市大同區鄰江里酒泉街241~270號
12,汽車竊盜,1040211,14~16,台北市士林區福佳里美崙街31~60號
13,汽車竊盜,1040211,22~24,台北市南港區新富里研究院路1段101巷(誠正國中旁156號
14,汽車竊盜,1040212,04~06,台北市松山區健康路69巷1~30號
15,汽車竊盜,1040213,14~16,台北市大安區仁愛里敦化南路1段270巷1~30號
16,汽車竊盜,1040218,04~06,台北市松山區光復北路181~210號
17,汽車竊盜,1040219,16~18,台北市士林區後港里通河東街2段151~180號
18,汽車竊盜,1040223,12~14,台北市士林區後港里承德路5段61~90號
19,汽車竊盜,1040302,22~24,台北市萬華區萬青街151~180號
20,汽車竊盜,1040317,04~06,台北市文山區興得里興隆路3段(辛亥路口)
21,汽車竊盜,1040317,08~10,台北市松山區松河街241~270號
22,汽車竊盜,1040318,02~04,台北市內湖區五分里安康路93巷
23,汽車竊盜,1040320,16~18,台北市內湖區石潭里潭美街
24,汽車竊盜,1040323,02~04,台北市士林區福志里18鄰雨農路21巷1~30號
25,汽車竊盜,1040324,18~20,台北市松山區民權東路3段106巷15弄1~30號
26,汽車竊盜,1040325,10~12,台北市士林區富光里延平北路5段1巷1~30號
27,汽車竊盜,1040325,16~18,台北市中正區三愛里臨沂街61巷14弄
28,汽車竊盜,1040330,12~14,台北市南港區中南里忠孝東路7段571~600號
29,汽車竊盜,1040331,02~04,台北市南港區玉成里松河街331~360號
30,汽車竊盜,1040331,02~04,台北市南港區玉成里松河街331~360號
31,汽車竊盜,1040331,02~04,台北市南港區重陽里重陽路187巷
32,汽車竊盜,1040331,04~06,台北市南港區玉成里松河街331~360號
33,汽車竊盜,1040403,08~10,台北市南港區新光里忠孝東路7段124巷(內靠近衛福部斜坡彎道處)
34,汽車竊盜,1040403,22~24,台北市南港區重陽里重陽路125巷(與松河街口)
35,汽車竊盜,1040408,06~08,台北市大同區環河北路2段361~390號
36,汽車竊盜,1040409,08~10,台北市內湖區內湖里成功路4段181~210號
37,汽車竊盜,1040410,08~10,台北市松山區敦化北路155巷100弄
38,汽車竊盜,1040411,22~24,台北市信義區雅祥里基隆路1段37巷(口)
39,汽車竊盜,1040413,14~16,台北市信義區雅祥里市民大道6段(松隆路123巷口附近)
40,汽車竊盜,1040413,22~24,台北市士林區德行里中山北路5段811巷1~30號
41,汽車竊盜,1040415,04~06,台北市南港區萬福里忠孝東路6段70巷21弄1~30號
42,汽車竊盜,1040420,08~10,台北市大同區朝陽里15鄰延平北路2段61~90號
43,汽車竊盜,1040425,08~10,台北市南港區重陽里重陽路203巷(口)
