編號,案類,發生日期,發生時段,發生地點
85,機車竊盜,1070210,20~22,臺北市北投區裕民三路1 - 30號
86,機車竊盜,1070210,05~07,臺北市萬華區萬大路331 - 360號
87,機車竊盜,1070211,14~16,臺北市萬華區萬大路486巷37弄1 - 30號
88,機車竊盜,1070212,14~16,臺北市大安區羅斯福路三段一帶
89,機車竊盜,1070213,17~19,臺北市大安區基隆路三段155巷一帶
90,機車竊盜,1070213,02~04,臺北市大安區大安路一段6之1 - 30號
91,機車竊盜,1070213,02~04,臺北市中正區懷寧街1 - 30號
92,機車竊盜,1070213,08~10,臺北市士林區百齡里18鄰前港街91 - 120號
93,機車竊盜,1070214,11~13,臺北市中山區新生北路一段91 - 120號
94,機車竊盜,1070214,08~10,臺北市中山區長春路151 - 180號
95,機車竊盜,1070214,17~19,臺北市中山區錦州街231巷內
96,機車竊盜,1070214,08~10,臺北市士林區天祿里天母東路8巷91 - 120號
97,機車竊盜,1070215,05~07,臺北市中山區建國北路75巷1 - 30號
98,機車竊盜,1070218,23~01,臺北市中正區中華路2段451 - 480號
99,機車竊盜,1070218,08~10,臺北市萬華區峨嵋街61 - 90號
100,機車竊盜,1070218,17~19,臺北市萬華區昆明街
101,機車竊盜,1070220,14~16,臺北市中山區中山北路一段91 - 120號
102,機車竊盜,1070220,02~04,臺北市士林區富光里6鄰葫蘆街11巷1 - 30號
103,機車竊盜,1070221,23~01,臺北市士林區文昌路91 - 120號
104,機車竊盜,1070221,02~04,臺北市大同區平陽街31 - 60號
105,機車竊盜,1070222,23~01,臺北市松山區東興路1 - 30號
106,機車竊盜,1070222,14~16,臺北市大同區環河東路2段與敦環路口
107,機車竊盜,1070222,20~22,臺北市萬華區青年路路
108,機車竊盜,1070222,05~07,臺北市臺北市萬華區和平西路三段51巷、三水街口
109,機車竊盜,1070223,14~16,臺北市信義區永吉路一帶
110,機車竊盜,1070223,20~22,臺北市萬華區昆明街61 - 90號
111,機車竊盜,1070224,20~22,臺北市北投區承德路七段361 - 390號
112,機車竊盜,1070224,14~16,臺北市大同區昌吉街121 - 150號
113,機車竊盜,1070225,17~19,臺北市中山區松江路63巷1 - 30號
114,機車竊盜,1070225,17~19,臺北市文山區興業里8鄰興隆路2段220巷31 - 60號
115,機車竊盜,1070225,17~19,臺北市內湖區新明路351巷和新明路口
116,機車竊盜,1070225,20~22,臺北市萬華區廣州街152巷1 - 30號
117,機車竊盜,1070226,08~10,臺北市中山區八德路與渭水路口
118,機車竊盜,1070226,08~10,臺北市松山區民有里復興北路181 - 210號
119,機車竊盜,1070226,17~19,臺北市萬華區梧州街12巷內
120,機車竊盜,1070228,17~19,臺北市環河南路及環河北路沿線
121,機車竊盜,1070301,14~16,臺北市內湖路一段737巷50弄31 - 60號
122,機車竊盜,1070301,08~10,臺北市北投區中正街1 - 30號
123,機車竊盜,1070301,23~01,臺北市信義區忠孝東路5段236巷3弄31 - 60號
124,機車竊盜,1070301,14~16,臺北市北投區光明路72巷31 - 60號
125,機車竊盜,1070302,05~07,臺北市大安區基隆路四段73巷內機
126,機車竊盜,1070302,08~10,臺北市中正區懷寧街1 - 30號
127,機車竊盜,1070302,05~07,臺北市文山區興隆路4段105巷31 - 60號
128,機車竊盜,1070303,11~13,臺北市中山區長春路1 - 30號
129,機車竊盜,1070303,17~19,臺北市內湖區康寧路三段54巷1 - 30號
130,機車竊盜,1070303,14~16,臺北市大同區重慶北路一段與華陰街口
131,機車竊盜,1070304,08~10,臺北市大安區濟南路3段1 - 30號
132,機車竊盜,1070304,08~10,臺北市北投區中央北路1段61 - 90號
133,機車竊盜,1070304,11~13,臺北市士林區劍南路211 - 240號
134,機車竊盜,1070304,20~22,臺北市萬華區西寧南路附近
135,機車竊盜,1070305,17~19,臺北市中山區民生西路3巷內
136,機車竊盜,1070305,23~01,臺北市北投區智仁里7鄰杏林二路1 - 30號
137,機車竊盜,1070306,20~22,臺北市中山區錦州街175巷1 - 30號
138,機車竊盜,1070306,17~19,臺北市南港區舊莊街1段151 - 180號
139,機車竊盜,1070306,08~10,臺北市北投區實踐街1 - 30號
140,機車竊盜,1070306,17~19,臺北市松山區八德路四段819巷內
141,機車竊盜,1070307,08~10,臺北市中正區忠孝西路與重慶北路
142,機車竊盜,1070308,02~04,臺北市萬華區環河南路3段121 - 150號
143,機車竊盜,1070310,14~16,臺北市中山區錦州街1 - 30號
144,機車竊盜,1070310,14~16,臺北市中山區長春路151 - 180號
145,機車竊盜,1070310,05~07,臺北市信義區松隆路一帶
146,機車竊盜,1070310,20~22,臺北市萬華區西藏路151 - 180號
147,機車竊盜,1070311,17~19,臺北市承德路七段與公館路口旁人行道機車格
148,機車竊盜,1070313,23~01,臺北市北投區西安街一段與西安街一段165巷口
149,機車竊盜,1070313,08~10,臺北市士林區福志里雨農路61 - 90號
150,機車竊盜,1070314,02~04,臺北市臺北市南港區鴻福里9鄰玉成街231巷1 - 30號
151,機車竊盜,1070314,17~19,臺北市北投區石牌路一段31 - 60號
152,機車竊盜,1070315,02~04,臺北市中山區渭水路建國啤酒廠旁
153,機車竊盜,1070315,08~10,臺北市大安區新生南路一段103巷1 - 30號
154,機車竊盜,1070315,23~01,臺北市北投區大業路517巷61 - 90號
155,機車竊盜,1070316,11~13,臺北市中山區松江路184巷內
156,機車竊盜,1070316,23~01,臺北市大安區復興南路一段177巷口
157,機車竊盜,1070317,05~07,臺北市北投區承德路六段421 - 450號
158,機車竊盜,1070318,11~13,臺北市大安區通化街61 - 90號
159,機車竊盜,1070318,02~04,臺北市大同區寧夏夜市附近
160,機車竊盜,1070319,17~19,臺北市中山區天津街61 - 90號
161,機車竊盜,1070319,23~01,臺北市北投區大度路三段91 - 120號
162,機車竊盜,1070319,02~04,臺北市士林區三玉里忠誠路二段10巷1 - 30號
163,機車竊盜,1070319,17~19,臺北市民權西路附近
164,機車竊盜,1070320,17~19,臺北市萬華區堤外便道
165,機車竊盜,1070320,11~13,臺北市中山區德惠街198巷1 - 30號
166,機車竊盜,1070321,08~10,臺北市中山區吉林路461巷1 - 30號
167,機車竊盜,1070323,11~13,臺北市中山區德惠街31 - 60號
168,機車竊盜,1070323,17~19,臺北市大同區鄭州路38巷內
169,機車竊盜,1070325,02~04,臺北市士林區百齡里5鄰前港街61 - 90號
170,機車竊盜,1070325,20~22,臺北市萬華區貴陽街二段91 - 120號
171,機車竊盜,1070326,14~16,臺北市中山區吉林路391 - 420號
172,機車竊盜,1070326,08~10,臺北市中正區新生南路1段1 - 30號
173,機車竊盜,1070326,11~13,臺北市中正區漢口街一段91 - 120號
174,機車竊盜,1070326,14~16,臺北市大同區南京西路181 - 210號
175,機車竊盜,1070327,11~13,臺北市大安區信義路3段99巷之口
176,機車竊盜,1070328,11~13,臺北市萬華區萬大路421 - 450號
177,機車竊盜,1070328,17~19,臺北市萬華區康定路91 - 120號
178,機車竊盜,1070329,14~16,臺北市大安區永康里愛國東路79巷
179,機車竊盜,1070329,08~10,臺北市士林區百齡里15鄰福港街259巷9弄內
180,機車竊盜,1070329,02~04,臺北市環河南路1段1 - 30號
181,機車竊盜,1070330,23~01,臺北市松山區民權東路3段106巷
182,機車竊盜,1070331,20~22,臺北市中山區新生北路與南京東路口
183,機車竊盜,1070331,14~16,臺北市大安區復興南路1段
184,機車竊盜,1070401,20~22,臺北市行天宮附近
185,機車竊盜,1070401,14~16,臺北市萬華區西藏路151 - 180號
186,機車竊盜,1070401,20~22,臺北市南港區重陽路481 - 510號
187,機車竊盜,1070402,05~07,臺北市北投區石牌路二段181 - 210號
188,機車竊盜,1070402,11~13,臺北市北投區泉源路1 - 30號
189,機車竊盜,1070403,02~04,臺北市中山區吉林路路361 - 390號
190,機車竊盜,1070403,02~04,臺北市北投區自強街120巷1 - 30號
191,機車竊盜,1070403,20~22,臺北市萬華區長沙街2段31 - 60號
192,機車竊盜,1070405,14~16,臺北市萬華區昆明街181 - 210號
193,機車竊盜,1070406,11~13,臺北市大安區敦化南路一段211 - 240號
194,機車竊盜,1070406,02~04,臺北市大安區安和路二段209巷口
195,機車竊盜,1070406,02~04,臺北市內湖區康寧路一段173巷1 - 30號
196,機車竊盜,1070406,11~13,臺北市大同區大龍街22巷1 - 30號
197,機車竊盜,1070408,20~22,臺北市內湖區文德路210巷30弄1 - 30號
198,機車竊盜,1070408,05~07,臺北市北投區承德路六段、福國路口
199,機車竊盜,1070409,14~16,臺北市中山區長春路258巷31 - 60號
200,機車竊盜,1070409,20~22,臺北市大安區市民大道61 - 90號
201,機車竊盜,1070410,08~10,臺北市中山區松江路121 - 150號
